Entry,Sample1,Sample2,Base,Solvent,Product
50,OC(C)C1=CC=CC(OC(OC(C)(C)C)=O)=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(/C=C/C1=CC=CC=C1)C2=CC=CC(O)=C2
,OC(C)C1=CC=CC(OC(OC(C)(C)C)=O)=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(/C=C/C1=CC=CC=C1)C2=CC=CC(OC(OC(C)(C)C)=O)=C2
51,OC(C)C1=CC=CC(OS(=O)(C(F)(F)F)=O)=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(/C=C/C1=CC=CC=C1)C2=CC=CC(O)=C2
,OC(C)C1=CC=CC(OS(=O)(C(F)(F)F)=O)=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(/C=C/C1=CC=CC=C1)C2=CC=CC(OS(=O)(C(F)(F)F)=O)=C2
52,OC(C)C1=CC=C(O)C=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(/C=C/C1=CC=CC=C1)C2=CC=C(O)C=C2
53,OC(C)C1=CC=C([N+]([O-])=O)C=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(/C=C/C1=CC=CC=C1)C2=CC=C([N+]([O-])=O)C=C2
54,OC(C)C1=CC=C(C(OCC)=O)C=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(/C=C/C1=CC=CC=C1)C2=CC=C(C(OCC)=O)C=C2
55,OC(C)C1=CC=C(F)C=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(/C=C/C1=CC=CC=C1)C2=CC=C(F)C=C2
56,OC(C)C1=CC=C(OC(OC(C)(C)C)=O)C=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(/C=C/C1=CC=CC=C1)C2=CC=C(O)C=C2
,OC(C)C1=CC=C(OC(OC(C)(C)C)=O)C=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(/C=C/C1=CC=CC=C1)C2=CC=C(OC(OC(C)(C)C)=O)C=C2
57,OC(C)C1=CC=C(OS(=O)(C(F)(F)F)=O)C=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(/C=C/C1=CC=CC=C1)C2=CC=C(O)C=C2
,OC(C)C1=CC=C(OS(=O)(C(F)(F)F)=O)C=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(/C=C/C1=CC=CC=C1)C2=CC=C(OS(=O)(C(F)(F)F)=O)C=C2
58,OC(C)/C=C/C1=CC=CC=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(/C=C/C1=CC=CC=C1)/C=C/C2=CC=CC=C2
59,O=C(C(C(C)O)=C)C1=CC=CC=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,O=C(C(C(/C=C/C1=CC=CC=C1)C)=C)C2=CC=CC=C2
60,CC(O)C#CC1=CC=CC=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(/C=C/C1=CC=CC=C1)C#CC2=CC=CC=C2
61,OC(C)C1=C(OP(OCC)(OCC)=O)C=CC=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(/C=C/C1=CC=CC=C1)C2=C(O)C=CC=C2
,OC(C)C1=C(OP(OCC)(OCC)=O)C=CC=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(/C=C/C1=CC=CC=C1)C2=C(OP(OCC)(OCC)=O)C=CC=C2
62,CC(OB(C1=CC=CC=C1)O2)C3=C2C=CC=C3,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(/C=C/C1=CC=CC=C1)C2=C(O)C=CC=C2
63,O=C(O1)OC(C)C2=C1C=CC=C2,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(/C=C/C1=CC=CC=C1)C2=C(O)C=CC=C2
64,O=C(N1)OC(C)C2=C1C=CC=C2,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(/C=C/C1=CC=CC=C1)C2=C(N)C=CC=C2
65,O=S(OC(C)C1=C2C=CC=C1)(O2)=O,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(/C=C/C1=CC=CC=C1)C2=C(O)C=CC=C2
66,O=S(OC(C)C1=C2C=CC=C1)(N2)=O,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(/C=C/C1=CC=CC=C1)C2=C(N)C=CC=C2
67,SCCO,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,SCC/C=C/C1=CC=CC=C1
68,NCCO,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,NCC/C=C/C1=CC=CC=C1
69,FC(F)CO,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,FC(F)C/C=C/C1=CC=CC=C1
70,OCC1OC1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,C1(/C=C/CC2OC2)=CC=CC=C1
71,OCCNC1=CC=CC=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,C1(/C=C/CCNC2=CC=CC=C2)=CC=CC=C1
72,OCCOC1=CC=CC=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,C1(/C=C/CCOC2=CC=CC=C2)=CC=CC=C1
73,CC(O)C,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(C)/C=C/C1=CC=CC=C1
74,OC1CC1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,C1(/C=C/C2CC2)=CC=CC=C1
75,OC1CCC1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,C1(/C=C/C2CCC2)=CC=CC=C1
76,OC1CCCC1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,C1(/C=C/C2CCCC2)=CC=CC=C1
77,OC1CCCCC1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,C1(/C=C/C2CCCCC2)=CC=CC=C1
78,OC1C(O)CCCC1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,OC(CCCC1)C1/C=C/C2=CC=CC=C2
79,OC1C(OS(=O)(C(F)(F)F)=O)CCCC1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,OC(CCCC1)C1/C=C/C2=CC=CC=C2
,OC1C(OS(=O)(C(F)(F)F)=O)CCCC1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,O=S(OC(CCCC1)C1/C=C/C2=CC=CC=C2)(C(F)(F)F)=O
80,OC1CCCCC1=O,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,O=C(CCCC1)C1/C=C/C2=CC=CC=C2
81,OC(C)CC1=CC=CC=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(/C=C/C1=CC=CC=C1)CC2=CC=CC=C2
82,OC(C#N)CC1=CC=CC=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,N#CC(/C=C/C1=CC=CC=C1)CC2=CC=CC=C2
83,OC([N+]([O-])=O)CC1=CC=CC=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,O=[N+](C(/C=C/C1=CC=CC=C1)CC2=CC=CC=C2)[O-]
84,OC(C(O)=O)CC1=CC=CC=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,O=C(C(/C=C/C1=CC=CC=C1)CC2=CC=CC=C2)O
85,OC(CO)CC1=CC=CC=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,OCC(/C=C/C1=CC=CC=C1)CC2=CC=CC=C2
,OC(CO)CC1=CC=CC=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,OC(C/C=C/C1=CC=CC=C1)CC2=CC=CC=C2
86,OC(COS(=O)(C(F)(F)F)=O)CC1=CC=CC=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,OCC(/C=C/C1=CC=CC=C1)CC2=CC=CC=C2
,OC(COS(=O)(C(F)(F)F)=O)CC1=CC=CC=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,O=S(OCC(/C=C/C1=CC=CC=C1)CC2=CC=CC=C2)(C(F)(F)F)=O
